Country Name,Country Code,Indicator Name,Indicator Code,sq km
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,14845090.094
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,9045773
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,13100559
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82650
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,790
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202950
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,38140
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8788700
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,1104953.23
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,39509.63
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,198
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9388210
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,404850
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,103800
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,444
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240
Czechia,CZE,Land area (sq. km),AG.LND.TOTL.K2,77186.83
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349390
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,40000
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,47531
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381741
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,16001571.47
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,33324923.735
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24484453.47
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,22393223
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,27440754.488
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,248360
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,995450
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,2680151.404
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,121040.829
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,499733.244
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,42750
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,1128571.265
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,3996581.774
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,20454306.094
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,303947.7
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,18270
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,547557
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,1370
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,700
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,257670
United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,241930
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,69490
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,227533
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,10
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,245720
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,10120
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,28120
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,28050
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,128900
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,340
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,410450
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,107160
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,540
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,196850
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,35266437.488
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,1050
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,111890
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,19394766.094
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,55960
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,27560
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,91260
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,70980294.47
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,96069043.564
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,25088749.094
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,4384623
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,1892555.47
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,20704126.094
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,570
India,IND,Land area (sq. km),AG.LND.TOTL.K2,2973190
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,68890
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,1622500
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,434128
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,100830
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,21640
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,295717
Jamaica,JAM,Land area (sq. km),AG.LND.TOTL.K2,10830
Jordan,JOR,Land area (sq. km),AG.LND.TOTL.K2,88794
Japan,JPN,Land area (sq. km),AG.LND.TOTL.K2,364500
Kazakhstan,KAZ,Land area (sq. km),AG.LND.TOTL.K2,2699700
Kenya,KEN,Land area (sq. km),AG.LND.TOTL.K2,569140
Kyrgyz Republic,KGZ,Land area (sq. km),AG.LND.TOTL.K2,191800
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,176520
Kiribati,KIR,Land area (sq. km),AG.LND.TOTL.K2,810
St. Kitts and Nevis,KNA,Land area (sq. km),AG.LND.TOTL.K2,260
"Korea, Rep.",KOR,Land area (sq. km),AG.LND.TOTL.K2,97600
Kuwait,KWT,Land area (sq. km),AG.LND.TOTL.K2,17820
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),AG.LND.TOTL.K2,17939031
Lao PDR,LAO,Land area (sq. km),AG.LND.TOTL.K2,230800
Lebanon,LBN,Land area (sq. km),AG.LND.TOTL.K2,10230
Liberia,LBR,Land area (sq. km),AG.LND.TOTL.K2,96320
